Èíslo dokladu;Katalog;Množ. hlav. jedn.;Datum vystavení;Datum vystavení OV;Datum vytvoøení  DLP
25VP-00002;;905,0000;02.01.2025;;
25VP-00002;;905,0000;02.01.2025;;
25VP-00002;;905,0000;02.01.2025;;
25VP-00002;;905,0000;02.01.2025;;
25VP-00004;PVY;1,0000;02.01.2025;;
25VP-00004;;1500,0000;02.01.2025;;
25VP-00004;13030683-03;1500,0000;02.01.2025;03.01.2025;06.01.2025
25VP-00001;;1260,0000;02.01.2025;;
25VP-00001;;1260,0000;02.01.2025;;
25VP-00001;;1260,0000;02.01.2025;;
25VP-00001;;1260,0000;02.01.2025;;
25VP-00003;;2510,0000;02.01.2025;;
25VP-00003;;2510,0000;02.01.2025;;
25VP-00003;;2510,0000;02.01.2025;;
25VP-00003;;2510,0000;02.01.2025;;
25J-00002;PVY;1,0000;03.01.2025;;
25J-00002;RS1 99 1;1,0000;03.01.2025;;
25J-00002;04010640-03;20,0000;03.01.2025;08.01.2025;10.01.2025
25J-00001;Poštovné;1,0000;03.01.2025;;
25J-00001;PVY;1,0000;03.01.2025;;
25J-00001;TA3 49 1;1,0000;03.01.2025;;
25J-00001;08010076-01;10,0000;03.01.2025;14.01.2025;17.01.2025
25VP-00005;PVY;1,0000;06.01.2025;;
25VP-00005;;100,0000;06.01.2025;;
25VP-00005;01021048-04;100,0000;06.01.2025;06.01.2025;07.01.2025
25J-00005;Poštovné;5,0000;06.01.2025;;
25J-00005;PVY;1,0000;06.01.2025;;
25J-00005;TA3 299 2;200,0000;06.01.2025;;
25J-00005;01060395-05;200,0000;06.01.2025;08.01.2025;10.01.2025
25J-00008;PVY;1,0000;06.01.2025;;
25J-00008;TR1 49 1;1,0000;06.01.2025;;
25J-00008;;5,0000;06.01.2025;07.01.2025;08.01.2025
25J-00008;;1,0000;06.01.2025;;
25J-00008;14100444-03;40,0000;06.01.2025;10.01.2025;15.01.2025
25NK-00001;Dopravné;1,0000;06.01.2025;;
25NK-00001;09051993-05;40,0000;06.01.2025;07.01.2025;14.01.2025
25NK-00001;09051993-09;40,0000;06.01.2025;07.01.2025;14.01.2025
25NK-00001; 09051993-08;40,0000;06.01.2025;07.01.2025;14.01.2025
25NK-00001;09050967-04;40,0000;06.01.2025;07.01.2025;14.01.2025
25J-00006;Poštovné;1,0000;06.01.2025;;
25J-00006;PVY;1,0000;06.01.2025;;
25J-00006;;500,0000;06.01.2025;;
25J-00006;;1,0000;06.01.2025;;
